Step    0: World 0 Agent 0: pos=(-0.03,0.01,0.02) rot=0.0° progress=0.33
Step    1: World 0 Agent 0: pos=(-0.03,0.02,0.02) rot=0.0° progress=0.67
Step    2: World 0 Agent 0: pos=(-0.03,0.02,0.02) rot=0.0° progress=1.00
Step    3: World 0 Agent 0: pos=(-0.03,0.03,0.02) rot=0.0° progress=1.33
Step    4: World 0 Agent 0: pos=(-0.03,0.04,0.02) rot=0.0° progress=1.67
Step    5: World 0 Agent 0: pos=(-0.03,0.05,0.02) rot=0.0° progress=2.00
Step    6: World 0 Agent 0: pos=(-0.03,0.06,0.02) rot=0.0° progress=2.33
Step    7: World 0 Agent 0: pos=(-0.03,0.07,0.01) rot=0.0° progress=2.67
Step    8: World 0 Agent 0: pos=(-0.03,0.07,0.01) rot=0.0° progress=2.67
Step    9: World 0 Agent 0: pos=(-0.03,0.07,0.00) rot=0.0° progress=2.67
Step   10: World 0 Agent 0: pos=(-0.03,0.07,0.00) rot=0.0° progress=2.67
Step   11: World 0 Agent 0: pos=(-0.03,0.07,0.00) rot=0.0° progress=2.67
Step   12: World 0 Agent 0: pos=(-0.03,0.07,0.00) rot=0.0° progress=3.00
Step   13: World 0 Agent 0: pos=(-0.03,0.08,0.00) rot=0.0° progress=3.33
Step   14: World 0 Agent 0: pos=(-0.02,0.09,0.00) rot=0.0° progress=3.67
Step   15: World 0 Agent 0: pos=(-0.02,0.10,0.00) rot=0.0° progress=4.00
Step   16: World 0 Agent 0: pos=(-0.02,0.11,0.00) rot=0.0° progress=4.33
Step   17: World 0 Agent 0: pos=(-0.02,0.12,0.00) rot=0.0° progress=4.66
Step   18: World 0 Agent 0: pos=(-0.02,0.12,0.00) rot=0.0° progress=5.00
Step   19: World 0 Agent 0: pos=(-0.02,0.13,0.00) rot=0.0° progress=5.33
Step   20: World 0 Agent 0: pos=(-0.02,0.14,0.00) rot=0.0° progress=5.66
Step   21: World 0 Agent 0: pos=(-0.02,0.15,0.00) rot=0.0° progress=6.00
Step   22: World 0 Agent 0: pos=(-0.02,0.16,0.00) rot=0.0° progress=6.33
Step   23: World 0 Agent 0: pos=(-0.02,0.17,0.00) rot=0.0° progress=6.66
Step   24: World 0 Agent 0: pos=(-0.02,0.17,0.00) rot=0.0° progress=6.99
Step   25: World 0 Agent 0: pos=(-0.02,0.18,0.00) rot=0.0° progress=7.33
Step   26: World 0 Agent 0: pos=(-0.02,0.19,0.00) rot=0.0° progress=7.66
Step   27: World 0 Agent 0: pos=(-0.02,0.20,0.00) rot=0.0° progress=7.99
Step   28: World 0 Agent 0: pos=(-0.02,0.21,0.00) rot=0.0° progress=8.33
Step   29: World 0 Agent 0: pos=(-0.02,0.22,0.00) rot=0.0° progress=8.66
Step   30: World 0 Agent 0: pos=(-0.02,0.22,0.00) rot=0.0° progress=8.99
Step   31: World 0 Agent 0: pos=(-0.02,0.23,0.00) rot=0.0° progress=9.32
Step   32: World 0 Agent 0: pos=(-0.02,0.24,0.00) rot=0.0° progress=9.66
Step   33: World 0 Agent 0: pos=(-0.02,0.25,0.00) rot=0.0° progress=9.99
Step   34: World 0 Agent 0: pos=(-0.02,0.26,0.00) rot=0.0° progress=10.32
Step   35: World 0 Agent 0: pos=(-0.02,0.27,0.00) rot=0.0° progress=10.66
Step   36: World 0 Agent 0: pos=(-0.02,0.27,0.00) rot=0.0° progress=10.99
Step   37: World 0 Agent 0: pos=(-0.02,0.28,0.00) rot=0.0° progress=11.32
Step   38: World 0 Agent 0: pos=(-0.02,0.29,0.00) rot=0.0° progress=11.65
Step   39: World 0 Agent 0: pos=(-0.02,0.30,0.00) rot=0.0° progress=11.99
Step   40: World 0 Agent 0: pos=(-0.02,0.31,0.00) rot=-0.0° progress=12.22
Step   41: World 0 Agent 0: pos=(-0.01,0.31,0.00) rot=-0.0° progress=12.46
Step   42: World 0 Agent 0: pos=(-0.01,0.32,0.00) rot=-0.0° progress=12.69
Step   43: World 0 Agent 0: pos=(-0.00,0.32,0.00) rot=-0.0° progress=12.93
Step   44: World 0 Agent 0: pos=(0.00,0.33,0.00) rot=-0.0° progress=13.16
Step   45: World 0 Agent 0: pos=(0.01,0.33,0.00) rot=-0.0° progress=13.40
Step   46: World 0 Agent 0: pos=(0.02,0.34,0.00) rot=-0.0° progress=13.63
Step   47: World 0 Agent 0: pos=(0.02,0.35,0.00) rot=-0.0° progress=13.86
Step   48: World 0 Agent 0: pos=(0.03,0.35,0.00) rot=-0.0° progress=13.86
Step   49: World 0 Agent 0: pos=(0.04,0.35,0.00) rot=-0.0° progress=13.86
Step   50: World 0 Agent 0: pos=(0.05,0.35,0.00) rot=-0.0° progress=13.86
Step   51: World 0 Agent 0: pos=(0.06,0.35,0.00) rot=-0.0° progress=13.86
Step   52: World 0 Agent 0: pos=(0.06,0.35,0.00) rot=-0.0° progress=13.86
Step   53: World 0 Agent 0: pos=(0.07,0.35,0.00) rot=-0.0° progress=13.86
Step   54: World 0 Agent 0: pos=(0.08,0.35,0.00) rot=-0.0° progress=13.86
Step   55: World 0 Agent 0: pos=(0.09,0.35,0.00) rot=-0.0° progress=13.86
Step   56: World 0 Agent 0: pos=(0.10,0.35,0.00) rot=-0.0° progress=13.86
Step   57: World 0 Agent 0: pos=(0.11,0.35,0.00) rot=0.0° progress=13.86
Step   58: World 0 Agent 0: pos=(0.11,0.35,0.00) rot=0.0° progress=13.86
Step   59: World 0 Agent 0: pos=(0.12,0.35,0.00) rot=0.0° progress=13.86
Step   60: World 0 Agent 0: pos=(0.13,0.35,0.00) rot=0.0° progress=13.86
Step   61: World 0 Agent 0: pos=(0.14,0.35,0.00) rot=0.0° progress=13.86
